Method,Sample,Group_taxonomy,Total_asv
COI - DADA2 - RDP - Curated,0002,Non-Alberta,0
COI - DADA2 - RDP - Curated,0003,Alberta fish,242
COI - DADA2 - RDP - Curated,0003,Non-Alberta,0
COI - DADA2 - RDP - Curated,0004,Alberta fish,1986
COI - DADA2 - RDP - Curated,0004,Non-Alberta,0
COI - DADA2 - RDP - Curated,0005,Alberta fish,236
COI - DADA2 - RDP - Curated,0005,Non-Alberta,0
COI - DADA2 - RDP - Curated,0006,Alberta fish,4
COI - DADA2 - RDP - Curated,0006,Non-Alberta,0
COI - DADA2 - RDP - Curated,0007,Alberta fish,21
COI - DADA2 - RDP - Curated,0007,Non-Alberta,0
COI - DADA2 - RDP - Curated,0008,Alberta fish,23
COI - DADA2 - RDP - Curated,0008,Non-Alberta,0
COI - DADA2 - RDP - Curated,0009,Alberta fish,43
COI - DADA2 - RDP - Curated,0009,Non-Alberta,0
COI - DADA2 - RDP - Curated,0010,Alberta fish,71
COI - DADA2 - RDP - Curated,0010,Non-Alberta,0
COI - DADA2 - RDP - Curated,0011,Alberta fish,13
COI - DADA2 - RDP - Curated,0011,Non-Alberta,0
COI - DADA2 - RDP - Curated,0012,Alberta fish,13
COI - DADA2 - RDP - Curated,0012,Non-Alberta,0
COI - DADA2 - RDP - Curated,0013,Alberta fish,28
COI - DADA2 - RDP - Curated,0013,Non-Alberta,0
COI - DADA2 - RDP - Curated,0014,Alberta fish,10
COI - DADA2 - RDP - Curated,0014,Non-Alberta,0
COI - DADA2 - RDP - Curated,0015,Alberta fish,17
COI - DADA2 - RDP - Curated,0015,Non-Alberta,0
COI - DADA2 - RDP - Curated,0016,Alberta fish,18
COI - DADA2 - RDP - Curated,0016,Non-Alberta,0
COI - DADA2 - RDP - Curated,0017,Alberta fish,14
COI - DADA2 - RDP - Curated,0017,Non-Alberta,0
COI - DADA2 - RDP - Curated,0018,Alberta fish,228
COI - DADA2 - RDP - Curated,0018,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0001,Alberta fish,31
COI - DADA2 - RDP - Non-curated,0001,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0001,Non-fish,4
COI - DADA2 - RDP - Non-curated,0002,Alberta fish,21
COI - DADA2 - RDP - Non-curated,0002,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0002,Non-fish,16
COI - DADA2 - RDP - Non-curated,0003,Alberta fish,260
COI - DADA2 - RDP - Non-curated,0003,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0003,Non-fish,74
COI - DADA2 - RDP - Non-curated,0004,Alberta fish,37
COI - DADA2 - RDP - Non-curated,0004,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0004,Non-fish,2044
COI - DADA2 - RDP - Non-curated,0005,Alberta fish,236
COI - DADA2 - RDP - Non-curated,0005,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0005,Non-fish,109
COI - DADA2 - RDP - Non-curated,0006,Alberta fish,4
COI - DADA2 - RDP - Non-curated,0006,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0006,Non-fish,19
COI - DADA2 - RDP - Non-curated,0007,Alberta fish,33
COI - DADA2 - RDP - Non-curated,0007,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0007,Non-fish,32
COI - DADA2 - RDP - Non-curated,0008,Alberta fish,23
COI - DADA2 - RDP - Non-curated,0008,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0008,Non-fish,4
COI - DADA2 - RDP - Non-curated,0009,Alberta fish,50
COI - DADA2 - RDP - Non-curated,0009,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0009,Non-fish,83
COI - DADA2 - RDP - Non-curated,0010,Alberta fish,40
COI - DADA2 - RDP - Non-curated,0010,Non-Alberta,4
COI - DADA2 - RDP - Non-curated,0010,Non-fish,82
COI - DADA2 - RDP - Non-curated,0011,Alberta fish,13
COI - DADA2 - RDP - Non-curated,0011,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0011,Non-fish,46
COI - DADA2 - RDP - Non-curated,0012,Alberta fish,13
COI - DADA2 - RDP - Non-curated,0012,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0012,Non-fish,8
COI - DADA2 - RDP - Non-curated,0013,Alberta fish,28
COI - DADA2 - RDP - Non-curated,0013,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0013,Non-fish,28
COI - DADA2 - RDP - Non-curated,0014,Alberta fish,16
COI - DADA2 - RDP - Non-curated,0014,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0014,Non-fish,5
COI - DADA2 - RDP - Non-curated,0015,Alberta fish,20
COI - DADA2 - RDP - Non-curated,0015,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0015,Non-fish,56
COI - DADA2 - RDP - Non-curated,0016,Alberta fish,18
COI - DADA2 - RDP - Non-curated,0016,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0016,Non-fish,48
COI - DADA2 - RDP - Non-curated,0017,Alberta fish,28
COI - DADA2 - RDP - Non-curated,0017,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0017,Non-fish,1
COI - DADA2 - RDP - Non-curated,0018,Alberta fish,228
COI - DADA2 - RDP - Non-curated,0018,Non-Alberta,0
COI - DADA2 - RDP - Non-curated,0018,Non-fish,65
