Group,Genus,Total,0001-mifish,0002-mifish,0003-mifish,0004-mifish,0005-mifish,0006-mifish,0007-mifish,0008-mifish,0009-mifish,0010-mifish,0011-mifish,0012-mifish,0013-mifish,0014-mifish,0015-mifish,0016-mifish,0017-mifish,0018-mifish,12s-allalberta,12s-blindspot,12s-lowrelat,12s-mix,12s-richlowevenlow,12s-richlowevenplus,12s-richplusevenlow,12s-richplusevenplus
Cyprinidae,Rhinichthys,52514,0,1,0,2,181,2809,1315,3477,12506,5751,9128,0,2347,2832,4002,5612,3,172,1277,0,0,1099,0,0,0,0
Cyprinidae,Semotilus,1623,0,1,1,0,1002,21,0,576,5,3,1,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0
Esocidae,Esox,26693,1,1,0,937,0,4006,552,0,2810,1407,1257,347,557,2544,0,1868,85,2586,1277,0,5356,1102,0,0,0,0
Fish,Centropyge,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0
Fish,Embiotoca,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,0,0,0,0
Fish,Gambusia,7736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,0,5361,1101,0,0,0,0
Fish,Lethenteron,7733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,5356,1100,0,0,0,0
Fish,Poecilia,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,1100,0,0,0,0
Fish,Richardsonius,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,1102,0,0,0,0
Fish,Tarimichthys,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,0,0
Fish,Thymallus,22526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,5356,0,1099,3513,5011,3761,2510
Gasterosteidae,Culaea,25815,0,1,3,5,0,0,0,1,4,1,2,7,0,0,0,0,4,4,1275,5357,0,1100,6522,5014,4010,2505
Gasterosteidae,Gasterosteus,2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,1102,0,0,0,0
Gasterosteidae,Pungitius,2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,1102,0,0,0,0
Hiodontidae,Hiodon,10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2553,0,5357,2199,0,0,0,0
Ictaluridae,Noturus,7734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,5358,1100,0,0,0,0
Leuciscidae,Margariscus,2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1277,0,0,1101,0,0,0,0
Lotidae,Lota,39777,0,1460,0,992,45,0,243,0,0,723,129,453,58,0,0,718,230,2324,1274,5357,5356,1100,7523,5012,4270,2510
Mammal,Castor,275,0,0,9,1,0,0,0,0,10,6,8,0,75,148,10,6,2,0,0,0,0,0,0,0,0,0
Nemacheilidae,Barbatula,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0,0,0,0
Percidae,Etheostoma,1113,0,0,1,0,0,0,0,1110,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Percidae,Perca,26646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,5360,5358,1101,2510,5019,3516,2509
Percidae,Percina,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,1102,0,0,0,0
Percidae,Sander,29604,0,1,0,528,0,0,224,1309,92,2336,1247,1,463,2195,1834,3941,196,862,2551,5358,0,2198,0,0,1757,2511
Percopsidae,Percopsis,42207,0,275,0,152,1,3721,2561,275,6368,4147,1124,730,765,3441,876,1343,320,1,1276,5362,5358,1099,0,0,503,2509
Salmonidae,Coregonus,25908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,5355,0,2203,1507,5016,4259,5018
Salmonidae,Oncorhynchus,40729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5105,5332,5354,4399,8518,5010,4503,2508
Salmonidae,Prosopium,21836,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,2550,5354,0,2202,502,5015,3011,2513
Salmonidae,Salmo,14631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552,5362,0,2198,0,0,2008,2511
Salmonidae,Salvelinus,36696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5104,5359,0,4401,9536,5018,4768,2510
Salmonidae,Stenodus,2354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,0,0,1084,0,0,0,0
